400, 400
x軸, y軸（補正なし）, ypos（補正あり）
67, 294, 234
63, 288, 234
95, 284, 230
98, 281, 227
64, 289, 229
63, 288, 234
66, 297, 237
66, 295, 235
71, 295, 235
97, 281, 227
71, 296, 236
67, 298, 238
72, 294, 234
73, 293, 233
59, 286, 232
58, 287, 233
36, 313, 241
72, 296, 236
75, 293, 233
75, 293, 233
42, 308, 242
59, 288, 234
70, 297, 237
71, 296, 236
68, 295, 235
69, 294, 234
68, 286, 232
62, 288, 234
70, 298, 238
60, 291, 231
61, 287, 233
64, 298, 238
60, 289, 229
70, 296, 236
59, 286, 232
73, 294, 234
72, 294, 234
54, 286, 232
37, 291, 231
72, 293, 233
59, 291, 231
64, 290, 230
62, 292, 232
59, 288, 234
62, 285, 231
73, 290, 230
57, 303, 237
116, 236, 194
69, 246, 204
84, 282, 228
65, 298, 238
89, 328, 244
80, 326, 242
90, 309, 243
90, 323, 245
150, 246, 204
71, 289, 229
165, 272, 224
91, 260, 212
76, 297, 237
86, 306, 240
72, 285, 231
50, 291, 231
78, 263, 215
56, 286, 232
65, 294, 234
60, 295, 235
66, 292, 232
56, 282, 228
60, 285, 231
