400, 400
x軸, y軸（補正なし）, ypos（補正あり）
28, 310, 238
26, 313, 241
32, 324, 240
26, 318, 240
29, 318, 240
19, 288, 234
25, 289, 229
26, 287, 233
23, 289, 229
23, 288, 234
27, 316, 244
27, 314, 242
31, 320, 242
26, 320, 242
29, 307, 241
30, 309, 243
27, 311, 239
30, 316, 244
29, 316, 244
31, 312, 240
29, 316, 244
33, 299, 239
41, 328, 244
44, 333, 243
30, 299, 239
25, 318, 240
30, 314, 242
30, 311, 239
30, 314, 242
28, 311, 239
31, 315, 243
28, 315, 243
27, 314, 242
27, 312, 240
26, 312, 240
30, 316, 244
31, 316, 244
27, 312, 240
27, 310, 238
29, 312, 240
25, 310, 238
26, 310, 238
30, 310, 238
27, 310, 238
27, 311, 239
24, 310, 238
29, 310, 238
27, 309, 243
27, 310, 238
27, 311, 239
26, 309, 243
27, 315, 243
23, 311, 239
27, 312, 240
31, 312, 240
27, 310, 238
28, 310, 238
33, 315, 243
36, 298, 238
45, 322, 244
19, 331, 241
19, 317, 239
37, 296, 236
17, 305, 239
27, 338, 236
24, 332, 242
40, 326, 242
28, 305, 239
34, 307, 241
32, 313, 241
34, 302, 236
30, 306, 240
30, 303, 237
36, 297, 237
24, 316, 244
28, 317, 239
22, 331, 241
23, 330, 240
23, 324, 240
31, 308, 242
24, 329, 239
26, 323, 245
35, 307, 241
32, 309, 243
36, 307, 241
25, 321, 243
33, 309, 243
19, 332, 242
19, 334, 238
24, 326, 242
19, 327, 243
23, 326, 242
27, 303, 237
29, 304, 238
23, 289, 229
24, 289, 229
28, 286, 232
23, 288, 234
16, 292, 232
16, 292, 232
24, 288, 234
21, 290, 230
16, 292, 232
25, 288, 234
15, 291, 231
26, 288, 234
16, 292, 232
17, 288, 234
16, 312, 240
25, 287, 233
24, 288, 234
24, 288, 234
27, 286, 232
25, 288, 234
26, 287, 233
17, 290, 230
27, 288, 234
21, 290, 230
24, 288, 234
20, 291, 231
16, 291, 231
16, 292, 232
24, 288, 234
29, 284, 230
33, 350, 224
36, 314, 242
21, 342, 234
27, 286, 232
27, 288, 234
17, 295, 235
20, 289, 229
23, 288, 234
18, 321, 243
26, 286, 232
24, 289, 229
26, 288, 234
17, 291, 231
27, 284, 230
27, 289, 229
34, 283, 229
19, 290, 230
24, 288, 234
28, 288, 234
17, 291, 231
23, 288, 234
26, 288, 234
29, 285, 231
25, 289, 229
19, 290, 230
25, 289, 229
18, 292, 232
27, 287, 233
24, 288, 234
23, 288, 234
23, 288, 234
20, 290, 230
16, 291, 231
18, 289, 229
23, 288, 234
24, 288, 234
26, 287, 233
25, 289, 229
26, 287, 233
15, 292, 232
26, 287, 233
25, 288, 234
24, 287, 233
15, 292, 232
23, 288, 234
25, 288, 234
16, 291, 231
24, 288, 234
25, 287, 233
24, 288, 234
24, 288, 234
27, 286, 232
16, 291, 231
16, 292, 232
25, 288, 234
24, 288, 234
24, 288, 234
25, 288, 234
26, 313, 241
21, 334, 238
31, 297, 237
27, 299, 239
26, 301, 235
27, 300, 234
23, 300, 234
25, 296, 236
29, 294, 234
22, 298, 238
24, 297, 237
32, 288, 234
43, 279, 225
12, 308, 242
29, 292, 232
12, 322, 244
15, 310, 238
19, 300, 234
25, 295, 235
29, 290, 230
14, 315, 243
24, 320, 242
13, 318, 240
32, 324, 240
24, 308, 242
24, 301, 235
25, 298, 238
12, 327, 243
25, 302, 236
13, 312, 240
33, 284, 230
34, 282, 228
31, 284, 230
28, 286, 232
33, 284, 230
29, 285, 231
9, 282, 228
100, 353, 221
108, 362, 200
105, 332, 242
108, 366, 186
57, 347, 233
104, 324, 240
106, 341, 239
107, 350, 224
107, 356, 218
106, 340, 238
107, 350, 224
106, 341, 239
106, 341, 239
106, 341, 239
107, 350, 224
107, 353, 221
107, 350, 224
107, 351, 225
107, 358, 214
106, 341, 239
107, 352, 226
107, 352, 226
107, 353, 221
106, 340, 238
105, 339, 237
106, 340, 238
106, 343, 235
106, 343, 235
106, 341, 239
107, 352, 226
107, 352, 226
106, 348, 228
107, 356, 218
107, 353, 221
107, 352, 226
107, 352, 226
106, 341, 239
106, 341, 239
106, 341, 239
106, 341, 239
106, 341, 239
106, 342, 234
107, 352, 226
107, 351, 225
107, 350, 224
106, 342, 234
107, 351, 225
107, 358, 214
106, 343, 235
107, 353, 221
107, 351, 225
107, 351, 225
107, 355, 217
106, 341, 239
107, 356, 218
105, 333, 243
114, 166, 136
112, 189, 159
112, 188, 158
111, 162, 132
115, 190, 160
285, 111, 87
212, 276, 222
8, 182, 152
103, 309, 243
112, 188, 158
212, 275, 221
114, 167, 137
113, 190, 160
114, 181, 151
114, 189, 159
111, 168, 138
103, 306, 240
113, 187, 157
112, 185, 155
111, 182, 152
114, 189, 159
112, 189, 159
114, 188, 158
114, 190, 160
8, 182, 152
106, 335, 239
106, 339, 237
116, 188, 158
112, 165, 135
114, 184, 154
115, 190, 160
8, 182, 152
112, 187, 157
113, 185, 155
112, 169, 139
113, 187, 157
8, 182, 152
114, 185, 155
113, 187, 157
212, 274, 226
8, 182, 152
212, 273, 225
8, 182, 152
114, 170, 140
112, 186, 156
112, 178, 148
8, 182, 152
114, 167, 137
113, 180, 150
112, 190, 160
112, 188, 158
112, 189, 159
113, 181, 151
112, 185, 155
114, 179, 149
115, 189, 159
112, 187, 157
8, 182, 152
112, 183, 153
112, 187, 157
116, 181, 151
114, 188, 158
98, 254, 212
111, 166, 136
116, 171, 141
8, 182, 152
8, 182, 152
112, 169, 139
114, 190, 160
112, 169, 139
114, 188, 158
112, 188, 158
98, 255, 213
114, 181, 151
114, 188, 158
8, 182, 152
213, 274, 226
115, 178, 148
117, 186, 156
112, 188, 158
9, 182, 152
114, 190, 160
114, 188, 158
113, 178, 148
8, 182, 152
112, 184, 154
8, 182, 152
115, 180, 150
112, 188, 158
112, 185, 155
54, 341, 239
103, 306, 240
113, 190, 160
113, 190, 160
114, 178, 148
212, 272, 224
115, 187, 157
113, 179, 149
7, 182, 152
108, 354, 222
106, 336, 240
32, 162, 132
286, 111, 87
113, 165, 135
113, 183, 153
114, 190, 160
115, 188, 158
114, 190, 160
100, 271, 223
103, 309, 243
113, 184, 154
111, 168, 138
115, 187, 157
57, 344, 236
112, 186, 156
115, 180, 150
103, 305, 239
8, 182, 152
113, 184, 154
113, 183, 153
112, 189, 159
113, 189, 159
114, 189, 159
114, 190, 160
212, 274, 226
8, 182, 152
114, 167, 137
113, 188, 158
105, 329, 239
113, 189, 159
113, 187, 157
212, 272, 224
115, 165, 135
111, 184, 154
112, 189, 159
212, 275, 221
115, 182, 152
103, 305, 239
114, 175, 145
117, 187, 157
115, 164, 134
114, 189, 159
158, 143, 119
115, 171, 141
114, 188, 158
114, 186, 156
113, 189, 159
212, 274, 226
114, 184, 154
212, 273, 225
114, 189, 159
212, 272, 224
114, 187, 157
111, 166, 136
114, 185, 155
112, 187, 157
113, 185, 155
112, 188, 158
112, 187, 157
114, 184, 154
116, 176, 146
113, 187, 157
106, 335, 239
118, 189, 159
115, 186, 156
116, 178, 148
114, 189, 159
285, 112, 88
113, 187, 157
114, 189, 159
114, 187, 157
113, 189, 159
114, 189, 159
112, 187, 157
112, 181, 151
116, 189, 159
110, 167, 137
112, 185, 155
117, 190, 160
212, 274, 226
113, 187, 157
114, 189, 159
113, 186, 156
114, 187, 157
114, 184, 154
58, 347, 233
114, 186, 156
113, 189, 159
114, 186, 156
114, 188, 158
11, 253, 211
114, 186, 156
212, 274, 226
110, 169, 139
113, 179, 149
116, 190, 160
285, 111, 87
114, 188, 158
113, 169, 139
113, 178, 148
117, 189, 159
112, 188, 158
113, 185, 155
113, 189, 159
112, 186, 156
116, 180, 150
113, 188, 158
113, 179, 149
114, 188, 158
113, 190, 160
113, 184, 154
113, 187, 157
58, 347, 233
114, 184, 154
114, 189, 159
115, 184, 154
113, 186, 156
112, 188, 158
8, 182, 152
112, 190, 160
112, 187, 157
115, 190, 160
115, 184, 154
114, 169, 139
113, 189, 159
116, 185, 155
114, 188, 158
112, 186, 156
