400, 400
x軸, y軸（補正なし）, ypos（補正あり）
67, 352, 226
66, 345, 231
98, 339, 237
73, 359, 209
72, 340, 238
70, 348, 228
57, 374, 140
75, 356, 218
72, 361, 205
47, 384, 6
99, 343, 235
71, 361, 205
71, 363, 195
64, 349, 229
81, 336, 240
90, 344, 236
68, 350, 224
42, 383, 29
78, 340, 238
34, 384, 6
60, 351, 225
86, 349, 229
69, 341, 239
65, 333, 243
45, 335, 239
62, 331, 241
34, 328, 244
50, 345, 231
63, 346, 232
33, 331, 241
139, 351, 225
22, 344, 236
107, 370, 166
87, 331, 241
127, 353, 221
120, 317, 239
58, 354, 222
20, 372, 156
38, 351, 225
51, 327, 243
54, 352, 226
105, 321, 243
131, 353, 221
75, 322, 244
137, 372, 156
69, 347, 233
64, 344, 236
63, 345, 231
242, 372, 156
237, 376, 124
100, 328, 244
59, 346, 232
65, 345, 231
204, 311, 239
209, 313, 241
199, 334, 238
82, 326, 242
196, 301, 235
174, 294, 234
196, 284, 230
56, 341, 239
31, 317, 239
56, 317, 239
95, 330, 240
208, 287, 233
221, 330, 240
223, 360, 204
71, 339, 237
31, 361, 205
62, 344, 236
67, 342, 234
66, 345, 231
97, 332, 242
96, 351, 225
71, 344, 236
91, 332, 242
64, 344, 236
102, 320, 242
65, 343, 235
65, 343, 235
61, 345, 231
61, 342, 234
65, 342, 234
59, 345, 231
68, 342, 234
66, 344, 236
65, 340, 238
65, 346, 232
94, 330, 240
63, 346, 232
62, 345, 231
146, 304, 238
155, 352, 226
64, 345, 231
40, 360, 204
59, 345, 231
