400, 400
x軸, y軸（補正なし）, ypos（補正あり）
130, 131, 107
130, 132, 108
132, 296, 236
69, 293, 233
130, 131, 107
68, 290, 230
133, 303, 237
130, 132, 108
133, 305, 239
131, 289, 229
134, 310, 238
130, 132, 108
135, 316, 244
132, 139, 115
132, 302, 236
132, 300, 234
130, 132, 108
130, 132, 108
130, 132, 108
69, 291, 231
135, 317, 239
130, 132, 108
134, 311, 239
130, 284, 230
134, 311, 239
128, 272, 224
132, 299, 239
129, 131, 107
131, 133, 109
130, 131, 107
134, 313, 241
135, 317, 239
130, 132, 108
131, 291, 231
130, 131, 107
130, 132, 108
130, 132, 108
130, 132, 108
129, 277, 223
134, 310, 238
133, 306, 240
130, 132, 108
134, 313, 241
132, 294, 234
134, 310, 238
131, 289, 229
133, 300, 234
131, 293, 233
130, 281, 227
131, 291, 231
132, 300, 234
130, 133, 109
132, 299, 239
133, 307, 241
69, 292, 232
69, 291, 231
134, 311, 239
130, 133, 109
131, 293, 233
135, 315, 243
132, 300, 234
69, 292, 232
132, 299, 239
132, 301, 235
130, 132, 108
130, 132, 108
131, 292, 232
133, 307, 241
134, 308, 242
129, 281, 227
135, 318, 240
133, 305, 239
134, 308, 242
133, 302, 236
130, 131, 107
130, 133, 109
133, 301, 235
131, 133, 109
131, 289, 229
131, 294, 234
130, 132, 108
134, 308, 242
131, 296, 236
134, 313, 241
128, 272, 224
132, 298, 238
132, 139, 115
133, 300, 234
134, 315, 243
135, 319, 241
132, 140, 116
132, 299, 239
131, 132, 108
134, 311, 239
135, 318, 240
132, 298, 238
130, 132, 108
129, 133, 109
134, 317, 239
130, 132, 108
135, 317, 239
134, 314, 242
130, 132, 108
130, 131, 107
132, 139, 115
133, 301, 235
130, 134, 110
130, 133, 109
134, 312, 240
130, 132, 108
130, 132, 108
134, 309, 243
131, 140, 116
130, 132, 108
132, 297, 237
130, 133, 109
130, 132, 108
131, 140, 116
130, 133, 109
134, 310, 238
130, 133, 109
135, 320, 242
130, 133, 109
130, 134, 110
131, 295, 235
132, 140, 116
132, 142, 118
132, 140, 116
132, 300, 234
134, 309, 243
133, 306, 240
132, 139, 115
130, 132, 108
131, 134, 110
132, 139, 115
130, 133, 109
130, 132, 108
133, 305, 239
131, 133, 109
131, 140, 116
132, 301, 235
131, 140, 116
131, 139, 115
132, 139, 115
130, 134, 110
131, 139, 115
132, 139, 115
133, 308, 242
131, 140, 116
133, 302, 236
135, 318, 240
131, 139, 115
131, 134, 110
130, 134, 110
131, 133, 109
133, 300, 234
134, 312, 240
131, 140, 116
131, 139, 115
132, 300, 234
133, 307, 241
133, 309, 243
135, 318, 240
130, 289, 229
132, 138, 114
130, 133, 109
130, 132, 108
132, 139, 115
133, 307, 241
130, 133, 109
130, 133, 109
130, 132, 108
132, 139, 115
130, 133, 109
129, 277, 223
133, 305, 239
130, 132, 108
131, 133, 109
134, 310, 238
131, 132, 108
131, 132, 108
132, 296, 236
130, 133, 109
133, 306, 240
130, 133, 109
129, 132, 108
131, 141, 117
68, 290, 230
131, 139, 115
130, 132, 108
131, 139, 115
134, 309, 243
130, 132, 108
130, 133, 109
132, 299, 239
130, 133, 109
130, 283, 229
132, 140, 116
136, 321, 243
131, 139, 115
129, 132, 108
131, 139, 115
132, 301, 235
130, 131, 107
134, 311, 239
130, 133, 109
130, 133, 109
131, 139, 115
134, 308, 242
129, 132, 108
130, 132, 108
135, 319, 241
132, 140, 116
131, 139, 115
131, 135, 111
130, 132, 108
131, 133, 109
135, 319, 241
134, 312, 240
131, 141, 117
135, 317, 239
133, 304, 238
129, 132, 108
131, 139, 115
130, 133, 109
133, 304, 238
132, 139, 115
133, 306, 240
136, 322, 244
135, 318, 240
133, 308, 242
132, 299, 239
130, 132, 108
130, 133, 109
130, 133, 109
132, 139, 115
130, 132, 108
131, 136, 112
131, 133, 109
129, 132, 108
130, 133, 109
