400, 400
x軸, y軸（補正なし）, ypos（補正あり）
92, 292, 232
91, 293, 233
92, 294, 234
92, 291, 231
92, 293, 233
76, 374, 140
92, 292, 232
90, 292, 232
93, 292, 232
92, 294, 234
92, 290, 230
93, 293, 233
92, 294, 234
42, 270, 222
93, 294, 234
92, 290, 230
92, 290, 230
93, 291, 231
93, 292, 232
93, 293, 233
93, 292, 232
93, 294, 234
93, 291, 231
93, 291, 231
92, 291, 231
14, 288, 234
93, 292, 232
93, 294, 234
92, 292, 232
92, 290, 230
78, 382, 46
93, 293, 233
92, 295, 235
93, 291, 231
92, 291, 231
92, 293, 233
77, 374, 140
92, 295, 235
93, 292, 232
92, 294, 234
93, 292, 232
78, 383, 29
76, 370, 166
77, 375, 129
92, 291, 231
92, 293, 233
91, 285, 231
93, 291, 231
92, 292, 232
93, 292, 232
93, 293, 233
93, 293, 233
78, 383, 29
93, 293, 233
93, 293, 233
93, 292, 232
93, 293, 233
91, 288, 234
78, 381, 63
92, 294, 234
93, 293, 233
93, 291, 231
93, 292, 232
93, 293, 233
93, 292, 232
93, 294, 234
93, 293, 233
13, 288, 234
93, 292, 232
92, 291, 231
78, 382, 46
78, 378, 102
92, 296, 236
79, 386, -46
77, 374, 140
79, 386, -46
93, 294, 234
93, 291, 231
93, 293, 233
78, 378, 102
92, 287, 233
92, 292, 232
77, 370, 166
14, 287, 233
14, 288, 234
93, 293, 233
92, 294, 234
93, 294, 234
93, 292, 232
74, 352, 226
93, 293, 233
42, 270, 222
92, 293, 233
76, 368, 176
77, 370, 166
75, 356, 218
93, 291, 231
76, 367, 181
76, 365, 191
77, 374, 140
77, 374, 140
93, 291, 231
78, 378, 102
93, 292, 232
77, 374, 140
92, 293, 233
93, 293, 233
78, 374, 140
93, 291, 231
93, 292, 232
78, 383, 29
93, 292, 232
93, 292, 232
77, 374, 140
77, 373, 145
93, 293, 233
93, 292, 232
79, 382, 46
91, 286, 232
91, 288, 234
76, 365, 191
93, 292, 232
43, 269, 221
75, 360, 204
43, 269, 221
93, 292, 232
76, 369, 171
79, 385, -17
77, 373, 145
78, 383, 29
93, 292, 232
13, 287, 233
15, 287, 233
91, 286, 232
93, 292, 232
93, 293, 233
43, 270, 222
92, 290, 230
91, 286, 232
92, 293, 233
78, 382, 46
92, 294, 234
92, 295, 235
14, 287, 233
93, 293, 233
93, 292, 232
13, 287, 233
13, 288, 234
93, 292, 232
42, 270, 222
92, 291, 231
77, 376, 124
93, 292, 232
93, 292, 232
78, 383, 29
77, 371, 161
93, 292, 232
78, 380, 74
93, 293, 233
43, 270, 222
93, 295, 235
92, 287, 233
93, 292, 232
93, 291, 231
92, 291, 231
93, 293, 233
42, 270, 222
92, 293, 233
93, 292, 232
78, 381, 63
93, 293, 233
77, 370, 166
92, 294, 234
93, 293, 233
92, 293, 233
79, 386, -46
78, 380, 74
93, 293, 233
78, 378, 102
93, 291, 231
90, 287, 233
75, 360, 204
91, 291, 231
92, 293, 233
45, 270, 222
77, 375, 129
77, 371, 161
79, 387, -75
93, 292, 232
78, 379, 91
93, 292, 232
92, 294, 234
76, 364, 196
93, 292, 232
94, 292, 232
93, 291, 231
75, 361, 205
93, 292, 232
93, 293, 233
92, 292, 232
94, 293, 233
92, 295, 235
92, 290, 230
93, 292, 232
77, 374, 140
92, 295, 235
93, 291, 231
78, 383, 29
93, 292, 232
77, 374, 140
93, 292, 232
93, 291, 231
93, 291, 231
92, 294, 234
92, 290, 230
42, 269, 221
92, 294, 234
77, 372, 156
93, 292, 232
77, 376, 124
93, 293, 233
79, 385, -17
93, 292, 232
92, 291, 231
77, 375, 129
79, 385, -17
76, 368, 176
79, 386, -46
92, 292, 232
76, 369, 171
93, 292, 232
92, 292, 232
93, 291, 231
93, 292, 232
94, 292, 232
91, 286, 232
77, 375, 129
93, 292, 232
78, 378, 102
91, 286, 232
93, 292, 232
92, 294, 234
75, 355, 217
92, 295, 235
41, 270, 222
93, 292, 232
78, 383, 29
42, 270, 222
93, 293, 233
93, 292, 232
93, 293, 233
92, 295, 235
92, 296, 236
77, 370, 166
78, 381, 63
93, 293, 233
93, 292, 232
23, 286, 232
92, 292, 232
42, 270, 222
92, 290, 230
93, 291, 231
92, 293, 233
78, 383, 29
93, 292, 232
76, 363, 195
93, 292, 232
93, 294, 234
76, 367, 181
92, 293, 233
91, 291, 231
77, 371, 161
93, 292, 232
43, 270, 222
93, 293, 233
92, 287, 233
91, 286, 232
78, 382, 46
93, 291, 231
92, 291, 231
93, 295, 235
77, 376, 124
77, 377, 113
45, 270, 222
79, 386, -46
94, 292, 232
91, 287, 233
92, 295, 235
