400, 400
x軸, y軸（補正なし）, ypos（補正あり）
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
96, 393, -465
94, 393, -465
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 393, -465
95, 393, -465
96, 393, -465
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
97, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
97, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
94, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
96, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
94, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
97, 393, -465
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 393, -465
97, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
94, 393, -465
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 394, -608
96, 393, -465
96, 394, -608
96, 394, -608
93, 394, -608
96, 394, -608
96, 393, -465
96, 393, -465
